Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0603_1608Metric",28.250000,3.225000,90.000000,top
"C2","22pF","C_0603_1608Metric",22.750000,2.575000,90.000000,top
"C3","100nF","C_0603_1608Metric",28.250000,7.025000,90.000000,top
"C4","100nF","C_0603_1608Metric",21.250000,2.575000,90.000000,top
"C5","100nF","C_0603_1608Metric",19.750000,2.575000,90.000000,top
"R1","220K","R_0805_2012Metric",24.912500,16.428187,0.000000,top
"R2","220K","R_0805_2012Metric",21.412500,16.428187,180.000000,top
"R3","2.2K","R_0805_2012Metric",12.437500,2.100000,0.000000,top
"R4","2.2K","R_0805_2012Metric",15.837500,2.100000,0.000000,top
"R5","10K","R_0805_2012Metric",5.625000,2.100000,0.000000,top
"R6","10K","R_0805_2012Metric",2.212500,2.100000,0.000000,top
"R7","10K","R_0805_2012Metric",9.012500,2.100000,0.000000,top
"U1","XIAO-ESP32-C6","XIAO-ESP32C6-SMD",10.310000,13.650000,0.000000,top
"U2","BNO085","BNO085",24.287500,6.431401,-90.000000,top
"X1","32.768KHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",25.500000,2.900000,0.000000,top
